year,statefip,state,abbrev,ins_public,ins_private,median_hhincome,race_white_wra_esi,race_black_wra_esi,race_asian_wra_esi,race_hispanic_wra_esi,supply_pct_wra_no_maternity_hosp,supply_prim_care_per_10k,supply_obgyn_per_10k,supply_rhc_fqhc_per_100k,male_vasectomy,otc,extended_supply,pharmacy_access
2012,44,Rhode Island,RI,.31248358,.57196188,54000,.80039799,.041702516,.045824885,.076671578,.041462261,9.3783445,1.7518938,3.3324065,0,0,0,0
2012,45,South Carolina,SC,.3381786,.49336785,43000,.66882002,.25357851,.017658273,.041129161,.12895212,6.5753222,1.1770377,5.7158303,0,0,0,0
2012,46,South Dakota,SD,.29788062,.59290051,48000,.91860527,.019336594,.0087579209,.015308562,.34271929,7.6798096,.82797945,12.599688,0,0,0,0
2012,47,Tennessee,TN,.33782464,.51992512,42180,.76866102,.16942376,.018288152,.027816258,.3387439,7.2069778,1.2065841,3.1597323,0,0,0,0
2012,48,Texas,TX,.28425831,.48800841,50000,.49901292,.12697692,.058378659,.29732224,.0699028,5.8535943,1.1051757,2.3523359,0,0,0,0
2012,49,Utah,UT,.21052875,.64778078,57000,.84992909,.0068078022,.034309085,.085260548,.064293131,5.6561742,1.0156597,1.6810919,0,0,0,0
2012,50,Vermont,VT,.39040208,.54416299,52400,.95648545,.0076266895,.011405803,.017882327,.26694945,10.846455,1.693261,8.6260462,0,0,0,0
2012,51,Virginia,VA,.24685718,.62743288,62000,.64618909,.17368835,.074641615,.078451253,.30905217,7.4408736,1.2753689,1.9057236,0,0,0,0
2012,53,Washington,WA,.28810534,.57381314,57400,.71995735,.032843836,.1100475,.082701825,.065150872,8.3093958,1.0033331,3.6392572,0,0,0,1
2012,54,West Virginia,WV,.36068574,.49273989,40000,.94069052,.022104671,.0096896496,.010916569,.28201172,7.6963997,.94318622,12.234473,0,0,0,0
2012,55,Wisconsin,WI,.31185573,.59418052,50100,.85768747,.037043337,.032666188,.053080808,.04701801,8.2337971,1.0425402,1.6589836,0,0,0,0
2012,56,Wyoming,WY,.26603886,.57364005,53000,.85867035,.0050588874,.013532923,.080750696,.12522019,6.696599,.98887599,5.2046108,0,0,0,0
2013,1,Alabama,AL,.3483777,.51059306,42640,.67932016,.25655928,.021407969,.02276464,.24179062,6.376039,1.071638,4.3444781,0,0,0,0
2013,2,Alaska,AK,.24213883,.57511306,72000,.67660409,.028508388,.072712682,.096507281,.68155801,8.4202566,.97941595,4.0808997,0,0,0,0
2013,4,Arizona,AZ,.34162116,.48058301,48000,.596439,.039702043,.046821315,.26185304,.013488949,6.6383729,.99598229,1.8108768,0,0,0,0
2013,5,Arkansas,AR,.38040963,.45796627,40000,.75128192,.14491275,.023982087,.055231672,.25541839,6.4777236,.86504811,5.1024323,0,0,0,0
2013,6,California,CA,.31271222,.51477319,60000,.3963407,.05150976,.17989931,.33242142,.021258686,7.8473835,1.1882861,2.5957072,0,0,0,0
2013,8,Colorado,CO,.27051893,.58999723,58030,.72972864,.032451119,.047208581,.15932754,.055626083,8.1182652,1.2432694,3.3217125,0,0,0,0
2013,9,Connecticut,CT,.31866673,.58841157,66450,.70865303,.092575446,.068154141,.10798577,0,8.5203886,1.8603591,2.5861495,0,0,0,0
2013,10,Delaware,DE,.36107305,.53432196,56200,.64164692,.21761581,.054514214,.076235369,0,7.2265806,.89657134,1.1882271,0,0,0,0
2013,11,District of Columbia,DC,.3629567,.57379621,66000,.54788768,.26598665,.063702837,.093482576,0,11.586374,2.9081955,5.8782673,0,0,0,0
2013,12,Florida,FL,.34984988,.44612932,45200,.5540123,.16533729,.040210251,.21631078,.14463612,7.2081528,1.0126396,2.0610795,0,0,0,0
2013,13,Georgia,GA,.29065698,.51627338,48000,.56278116,.3205846,.046628479,.050946191,.26957667,6.5121007,1.2189548,2.3118107,0,0,0,0
2013,15,Hawaii,HI,.30798173,.62142479,67400,.18276291,.014574492,.45539775,.117539,.000037668473,8.653513,1.3888354,3.632339,0,0,0,0
2013,16,Idaho,ID,.29714552,.53814691,46900,.84868991,.0014155052,.023072163,.099755868,.14588466,6.3332124,.84360129,5.8307734,0,0,0,0
2013,17,Illinois,IL,.31216332,.55930138,55900,.66850644,.10852467,.068741493,.13556971,.080150679,8.0949316,1.3375112,3.9744964,0,0,0,0
2013,18,Indiana,IN,.30129761,.55434781,46900,.8333506,.069621198,.021576749,.056486525,.16569825,6.7129292,.9648599,2.5110707,0,0,0,0
2013,19,Iowa,IA,.31979191,.59164882,51400,.87871152,.023233015,.033255547,.050616674,.16425395,7.4002981,.630983,6.5363369,0,0,0,0
2013,20,Kansas,KS,.27711537,.59660214,50000,.7979086,.044784516,.038444072,.084933825,.092604265,7.5329385,1.0020882,7.2910552,0,0,0,0
2013,21,Kentucky,KY,.3379921,.51286817,43000,.87847954,.069133006,.017898235,.020266291,.4196921,6.6707697,.98741949,5.8926649,0,0,0,0
2013,22,Louisiana,LA,.34293273,.48182216,43800,.64316118,.28259158,.017350612,.037070237,.28395078,6.4490743,1.4182342,4.5616984,0,0,0,0
2013,23,Maine,ME,.39309433,.49590304,47900,.94544142,.0039761732,.018469477,.0083165765,.048367877,10.999004,1.069034,9.937499,0,0,0,0
2013,24,Maryland,MD,.28475443,.61233211,72000,.53567702,.2966772,.069108784,.068948589,.069246925,8.9343328,1.6377643,1.3156089,0,0,0,0
2013,25,Massachusetts,MA,.34248728,.61834466,66000,.7537387,.057842698,.083584361,.079156898,0,10.591942,1.4508076,1.4343721,0,0,0,0
2013,26,Michigan,MI,.34674221,.54038161,48000,.77965665,.10802754,.043805078,.042872652,.1276252,8.050025,1.2227629,3.5571287,0,0,0,0
2013,27,Minnesota,MN,.28511286,.63113618,60000,.84275132,.037271637,.0623095,.036058798,.1506227,9.1137524,1.132762,2.5090492,0,0,0,0
2013,28,Mississippi,MS,.37640792,.44748157,37800,.59121835,.36998221,.01041482,.02126961,.25120908,5.3724132,1.0464003,11.6341,0,0,0,0
2013,29,Missouri,MO,.31010306,.55708301,46600,.82309598,.09895964,.026160073,.026995212,.18577862,7.0563855,1.0969247,8.3882475,0,0,0,0
2013,30,Montana,MT,.32540622,.50687128,47000,.92665797,.0022307141,.0065175644,.026283631,.24715862,7.6243763,.83730233,10.934183,0,0,0,0
2013,31,Nebraska,NE,.27299792,.61983305,51500,.81689215,.037579991,.024104487,.09698049,.22332463,7.38554,1.1292384,8.669982,0,0,0,0
2013,32,Nevada,NV,.26218435,.53016341,50000,.50010073,.072274476,.10448461,.27880716,.051010944,5.7022309,.87809342,1.3977814,0,0,0,0
2013,33,New Hampshire,NH,.27304435,.61766326,63000,.90739751,.0088560795,.031988874,.035251953,.028904742,9.3996115,1.3298485,3.0979426,0,0,0,0
2013,34,New Jersey,NJ,.27587542,.58864182,69800,.58838886,.11449233,.13149695,.1466964,.046355978,8.5658045,1.4675248,.93265355,0,0,0,0
2013,35,New Mexico,NM,.39456582,.41000015,43500,.43175754,.010927631,.020405041,.46607563,.13487197,7.6152587,1.0166466,5.5148282,0,0,0,0
2013,36,New York,NY,.35759619,.53401452,56600,.62588507,.13133545,.086355776,.13233022,.050950814,8.3348913,1.6451982,1.200949,0,0,0,0
2013,37,North Carolina,NC,.32949424,.51542407,45000,.68391585,.19929561,.03575727,.051401015,.093034275,7.0724587,1.1921129,2.5487254,0,0,0,0
2013,38,North Dakota,ND,.23914663,.6580351,54850,.91556174,.020089844,.011594896,.014825369,.38748428,7.9210057,.87089592,9.2619085,0,0,0,0
2013,39,Ohio,OH,.32732683,.55971819,48000,.83399773,.089309894,.02607071,.029964402,.14885293,7.7133765,1.1805571,1.8494819,0,0,0,0
2013,40,Oklahoma,OK,.3308678,.48924887,45000,.70179546,.073966533,.027483286,.072631009,.16848321,6.399056,.78170288,3.0385127,0,0,0,0
2013,41,Oregon,OR,.32702231,.52307582,50000,.77709448,.014699291,.062050529,.098733917,.040439241,9.3179121,1.2595211,4.5546322,0,0,0,0
2013,42,Pennsylvania,PA,.32581368,.57464331,51600,.81053555,.086570285,.039007742,.048026055,.037933964,8.2042923,1.1703643,2.1215298,0,0,0,0
2013,44,Rhode Island,RI,.31800333,.56330079,56000,.79659504,.04786931,.03812607,.083201416,.041607846,9.5291443,1.8069235,3.3285434,0,0,0,0
2013,45,South Carolina,SC,.34377933,.49657318,44000,.67982566,.25717077,.019149849,.027756346,.14035793,6.6850424,1.1916633,5.4870958,0,0,0,0
2013,46,South Dakota,SD,.30790755,.56605989,47000,.89770275,.016673725,.0161444,.023300868,.40163594,7.6342473,.81668693,12.664565,0,0,0,0
